1/36. Count of epochs: 10; batch size: 50; learning rate: 0.02000...
Training loss: 1.50410; testing loss: 1.56137;
-------------------------------------------------------------------------------------------
Epoch 941/1000... Training accuracy.: 0.95748; testing accuracy.: 0.90500
Training loss: 1.50410; testing loss: 1.55597;
-------------------------------------------------------------------------------------------
Epoch 942/1000... Training accuracy.: 0.95750; testing accuracy.: 0.93500
Training loss: 1.50410; testing loss: 1.52661;
-------------------------------------------------------------------------------------------
Epoch 943/1000... Training accuracy.: 0.95750; testing accuracy.: 0.89500
Training loss: 1.50410; testing loss: 1.56353;
-------------------------------------------------------------------------------------------
Epoch 944/1000... Training accuracy.: 0.95750; testing accuracy.: 0.94500
Training loss: 1.50410; testing loss: 1.51742;
-------------------------------------------------------------------------------------------
Epoch 945/1000... Training accuracy.: 0.95750; testing accuracy.: 0.92000
Training loss: 1.50410; testing loss: 1.54535;
-------------------------------------------------------------------------------------------
Epoch 946/1000... Training accuracy.: 0.95750; testing accuracy.: 0.94500
Training loss: 1.50410; testing loss: 1.51577;
-------------------------------------------------------------------------------------------
Epoch 947/1000... Training accuracy.: 0.95748; testing accuracy.: 0.92000
Training loss: 1.50409; testing loss: 1.53920;
-------------------------------------------------------------------------------------------
Epoch 948/1000... Training accuracy.: 0.95750; testing accuracy.: 0.92500
Training loss: 1.50409; testing loss: 1.53569;
-------------------------------------------------------------------------------------------
Epoch 949/1000... Training accuracy.: 0.95748; testing accuracy.: 0.92000
Training loss: 1.50409; testing loss: 1.54213;
-------------------------------------------------------------------------------------------
Epoch 950/1000... Training accuracy.: 0.95750; testing accuracy.: 0.91500
Training loss: 1.50409; testing loss: 1.54852;
-------------------------------------------------------------------------------------------
Epoch 951/1000... Training accuracy.: 0.95750; testing accuracy.: 0.91500
Training loss: 1.50409; testing loss: 1.54673;
-------------------------------------------------------------------------------------------
Epoch 952/1000... Training accuracy.: 0.95750; testing accuracy.: 0.93500
Training loss: 1.50409; testing loss: 1.52463;
-------------------------------------------------------------------------------------------
Epoch 953/1000... Training accuracy.: 0.95750; testing accuracy.: 0.92500
Training loss: 1.50409; testing loss: 1.53764;
-------------------------------------------------------------------------------------------
Epoch 954/1000... Training accuracy.: 0.95750; testing accuracy.: 0.88000
Training loss: 1.50409; testing loss: 1.58185;
-------------------------------------------------------------------------------------------
Epoch 955/1000... Training accuracy.: 0.95750; testing accuracy.: 0.90500
Training loss: 1.50409; testing loss: 1.55770;
-------------------------------------------------------------------------------------------
Epoch 956/1000... Training accuracy.: 0.95750; testing accuracy.: 0.91000
Training loss: 1.50409; testing loss: 1.54776;
-------------------------------------------------------------------------------------------
Epoch 957/1000... Training accuracy.: 0.95750; testing accuracy.: 0.91500
Training loss: 1.50408; testing loss: 1.54879;
-------------------------------------------------------------------------------------------
Epoch 958/1000... Training accuracy.: 0.95750; testing accuracy.: 0.94000
Training loss: 1.50409; testing loss: 1.52218;
-------------------------------------------------------------------------------------------
Epoch 959/1000... Training accuracy.: 0.95750; testing accuracy.: 0.95000
Training loss: 1.50408; testing loss: 1.51553;
-------------------------------------------------------------------------------------------
Epoch 960/1000... Training accuracy.: 0.95750; testing accuracy.: 0.90500
Training loss: 1.50408; testing loss: 1.55632;
-------------------------------------------------------------------------------------------
Epoch 961/1000... Training accuracy.: 0.95748; testing accuracy.: 0.93500
Training loss: 1.50408; testing loss: 1.52605;
-------------------------------------------------------------------------------------------
Epoch 962/1000... Training accuracy.: 0.95750; testing accuracy.: 0.96000
Training loss: 1.50408; testing loss: 1.50154;
-------------------------------------------------------------------------------------------
Epoch 963/1000... Training accuracy.: 0.95750; testing accuracy.: 0.93000
Training loss: 1.50408; testing loss: 1.53295;
-------------------------------------------------------------------------------------------
Epoch 964/1000... Training accuracy.: 0.95750; testing accuracy.: 0.92000
Training loss: 1.50408; testing loss: 1.54430;
-------------------------------------------------------------------------------------------
Epoch 965/1000... Training accuracy.: 0.95750; testing accuracy.: 0.91500
Training loss: 1.50408; testing loss: 1.54403;
-------------------------------------------------------------------------------------------
Epoch 966/1000... Training accuracy.: 0.95748; testing accuracy.: 0.94500
Training loss: 1.50407; testing loss: 1.51490;
-------------------------------------------------------------------------------------------
Epoch 967/1000... Training accuracy.: 0.95750; testing accuracy.: 0.89500
Training loss: 1.50408; testing loss: 1.56568;
-------------------------------------------------------------------------------------------
Epoch 968/1000... Training accuracy.: 0.95750; testing accuracy.: 0.92500
Training loss: 1.50407; testing loss: 1.53635;
-------------------------------------------------------------------------------------------
Epoch 969/1000... Training accuracy.: 0.95750; testing accuracy.: 0.89500
Training loss: 1.50407; testing loss: 1.56354;
-------------------------------------------------------------------------------------------
